field_id:ID(Field),name,db_field,semantic,table_count:int,:LABEL
MODIFY_NUM,MODIFY_NUM,RAZ009,none,1,Field
SDATE,SDATE,RAZ013,none,1,Field
AAA037,AAA037,AAA037,none,2,Field
TOTAL_RECORD_NUM,TOTAL_RECORD_NUM,RAZ009,none,1,Field
FUND_COST,FUND_COST,DKE217,none,1,Field
AAZ107,AAZ107,AAZ107,none,8,Field
BKE032,BKE032,BKE032,none,1,Field
AKE002,AKE002,AKE002,none,1,Field
AKC225,AKC225,AKC225,none,1,Field
AKC226,AKC226,AKC226,none,1,Field
AKC264,AKC264,AKC264,none,3,Field
AAE149,AAE149,AAE149,none,3,Field
CKC016,CKC016,CKC016,none,1,Field
AKB067,AKB067,AKB067,none,2,Field
MONEY,MONEY,RAZ012,none,1,Field
CKA009,CKA009,CKA009,none,1,Field
CKC005,CKC005,CKC005,none,1,Field
DKB028,DKB028,DKB028,none,2,Field
DKB006,DKB006,DKB006,none,1,Field
DKB018,DKB018,DKB018,none,1,Field
AAA150,AAA150,AAA150,none,2,Field
ALC031,ALC031,ALC031,none,2,Field
RESULT,RESULT,DAE046,none,2,Field
AAA027,AAA027,AAA027,none,24,Field
EXPLAIN,EXPLAIN,DAE046,none,3,Field
CAC026,CAC026,CAC026,none,1,Field
HIGH,HIGH,RAZ007,none,1,Field
LOW,LOW,RAZ008,none,1,Field
AAE217,AAE217,AAE217,none,2,Field
AAE218,AAE218,AAE218,none,1,Field
DAY,DAY,RAZ010,none,1,Field
ALA040,ALA040,ALA040,none,1,Field
RAZ011,RAZ011,RAZ011,none,2,Field
INTERVAL,INTERVAL,RAZ011,none,1,Field
WORK_INJURY_TIME,WORK_INJURY_TIME,ALC020,none,1,Field
DATE_OF_APPLICATION,DATE_OF_APPLICATION,AAE127,none,1,Field
FIRST_TIME_TO_WORK,FIRST_TIME_TO_WORK,AJC050,none,1,Field
AAE127,AAE127,AAE127,none,1,Field
CLC019,CLC019,CLC019,none,1,Field
ALC020,ALC020,ALC020,none,2,Field
S_F_DAYS,S_F_DAYS,RAZ010,none,1,Field
AMC030,AMC030,AMC030,none,1,Field
CMC114,CMC114,CMC114,none,1,Field
JGYS,JGYS,RAZ011,none,1,Field
AMC020,AMC020,AMC020,none,3,Field
CAD214,CAD214,CAD214,none,1,Field
CAD215,CAD215,CAD215,none,1,Field
RAZ012,RAZ012,RAZ012,none,1,Field
CAE249,CAE249,CAE249,none,1,Field
WORK_AAB001,WORK_AAB001,AAB001_W,none,1,Field
DAD083,DAD083,DAD083,none,1,Field
aaa027,aaa027,AAA027,none,53,Field
street,street,AAB073,none,6,Field
vitality_index,vitality_index,DAB202,none,2,Field
aab073,aab073,AAB073,none,28,Field
num_new_add_comp,num_new_add_comp,DAB204,none,1,Field
domain_category,domain_category,AAB035,none,1,Field
num_companies,num_companies,DAB206,none,2,Field
industry_category,industry_category,AAB022,none,1,Field
avg_med_spend,avg_med_spend,DAB209,none,1,Field
proportion_drugstore,proportion_drugstore,DAB210,none,1,Field
num_db,num_db,DAB211,none,1,Field
overall_rating,overall_rating,DAB212,none,4,Field
frequency,frequency,DAB213,none,2,Field
company_id,company_id,AAB001,none,28,Field
lon,lon,DAB214,none,2,Field
lat,lat,DAB215,none,2,Field
employee_health_index,employee_health_index,DAB216,none,1,Field
basic_condition_score,basic_condition_score,DAB218,none,2,Field
credit_condition_score,credit_condition_score,DAB219,none,1,Field
social_security_pay_condition_score,social_security_pay_condition_score,DAB220,none,1,Field
development_condition_score,development_condition_score,DAB221,none,1,Field
operation_condition_score,operation_condition_score,DAB222,none,1,Field
personnel_structure_condition_socre,personnel_structure_condition_socre,DAB223,none,1,Field
health_condition_score,health_condition_score,DAB224,none,1,Field
num_contributor,num_contributor,DAB226,none,1,Field
retained_staff,retained_staff,DAB227,none,1,Field
new_add_staff,new_add_staff,DAB228,none,1,Field
leave_staff,leave_staff,DAB229,none,1,Field
average_month_base_pay,average_month_base_pay,DAB230,none,1,Field
worker_growth_rate,worker_growth_rate,DAB232,none,1,Field
social_security_timely_payment_rate,social_security_timely_payment_rate,DAB233,none,1,Field
unemployment_benefits_reveive_rate,unemployment_benefits_reveive_rate,DAB234,none,1,Field
injury_incidence_rate,injury_incidence_rate,DAB235,none,1,Field
age_group,age_group,DAB237,none,6,Field
num,num,DAB238,none,16,Field
gender,gender,AAC004,none,8,Field
education,education,AAC011,none,4,Field
region,region,BAB001,none,2,Field
annual_per_medical_spending,annual_per_medical_spending,DAB245,none,1,Field
annual_num_medical_treatment,annual_num_medical_treatment,DAB246,none,1,Field
serious_staff_ratio,serious_staff_ratio,DAB247,none,1,Field
serious_staff_number,serious_staff_number,DAB248,none,1,Field
total_workers_num,total_workers_num,DAB249,none,1,Field
person_id,person_id,AAC001,none,6,Field
risk_event,risk_event,DAB250,none,1,Field
total_money,total_money,DAB251,none,2,Field
aab001,aab001,AAB001,none,13,Field
overall_ranking,overall_ranking,DAB254,none,1,Field
industry_ranking,industry_ranking,DAB255,none,1,Field
vitality_index_ranking,vitality_index_ranking,DAB203,none,1,Field
employee_health_index_ranking,employee_health_index_ranking,DAB217,none,1,Field
avg_value,avg_value,DAB212,none,3,Field
aab022,aab022,AAB022,none,12,Field
score_chain_grow_rate,score_chain_grow_rate,DAB277,none,1,Field
vitality_chain_grow_rate,vitality_chain_grow_rate,DAB278,none,1,Field
aae140,aae140,AAE140,none,14,Field
aac004,aac004,AAC004,none,4,Field
aaa036,aaa036,AAA036,none,1,Field
aab035,aab035,AAB035,none,1,Field
new_add_num,new_add_num,DAB228,none,2,Field
retain_num,retain_num,DAB227,none,2,Field
cum_count,cum_count,DAB284,none,2,Field
num_peo,num_peo,DAB238,none,3,Field
all_money,all_money,DAB280,none,1,Field
name,name,AAC003,none,1,Field
age,age,DAC213,none,8,Field
entry_time,entry_time,DAB285,none,1,Field
census,census,BAB001,none,1,Field
base_pay,base_pay,DAB291,none,1,Field
year_of_service,year_of_service,DAB287,none,1,Field
num_of_payable,num_of_payable,DAB288,none,1,Field
paidup,paidup,DAB289,none,1,Field
flag,flag,DAB290,none,1,Field
security_time,security_time,DAB292,none,1,Field
all_num,all_num,DAB238,none,2,Field
num_history,num_history,DAB284,none,1,Field
ajc097,ajc097,DAC333,none,1,Field
periods,periods,DAB293,none,2,Field
ajc093,ajc093,AJC093,none,3,Field
sum_money,sum_money,DAB303,none,1,Field
clc388,clc388,DAC333,none,2,Field
alc027,alc027,ALC027,none,3,Field
alc021,alc021,ALC021,none,3,Field
ala040,ala040,ALA040,none,3,Field
aae019,aae019,DAB303,none,1,Field
new_add_retirement,new_add_retirement,DAB228,none,1,Field
retire_age,retire_age,DAB295,none,2,Field
outpatient_peo_num,outpatient_peo_num,DAB296,none,1,Field
hospital_peo_num,hospital_peo_num,DAB297,none,1,Field
outpatient_sum,outpatient_sum,DAB298,none,1,Field
hospital_sum,hospital_sum,DAB299,none,1,Field
drugstore_peo_num,drugstore_peo_num,DAB318,none,1,Field
aac001,aac001,AAC001,none,5,Field
source_type,source_type,DAB301,none,1,Field
retired_type,retired_type,DAB302,none,1,Field
type,type,DAB305,none,1,Field
num_all,num_all,DAB238,none,2,Field
num_add,num_add,DAB228,none,1,Field
num_leave,num_leave,DAB229,none,1,Field
num_join,num_join,DAB310,none,1,Field
ake002,ake002,AKE002,none,1,Field
rating,rating,DAB312,none,1,Field
score,score,DAB314,none,2,Field
event,event,DAB317,none,2,Field
aac003,aac003,AAC003,none,3,Field
serial_number,serial_number,DAB322,none,1,Field
desc,desc,dab323,none,1,Field
aac011,aac011,AAC011,none,1,Field
year_num,year_num,DAC211,none,1,Field
male_num,male_num,DAC215,none,4,Field
peo_num,peo_num,DAC220,none,2,Field
female_num,female_num,DAC222,none,2,Field
male_medical_num,male_medical_num,DAC223,none,2,Field
female_medical_num,female_medical_num,DAC224,none,2,Field
male_medical_cost,male_medical_cost,DAC225,none,1,Field
female_medical_cost,female_medical_cost,DAC226,none,1,Field
peo_medical_num,peo_medical_num,DAC227,none,1,Field
male_medical_avg_cost,male_medical_avg_cost,DAC232,none,1,Field
female_medical_avg_cost,female_medical_avg_cost,DAC233,none,1,Field
sex_medical_num_rate_low,sex_medical_num_rate_low,DAC236,none,1,Field
variable,variable,DAC380,none,1,Field
region_level,region_level,DAC312,none,1,Field
REGION_CODE,REGION_CODE,BAB001,none,1,Field
whole_num,whole_num,DAC220,none,1,Field
first_percent,first_percent,DAC313,none,1,Field
second_percent,second_percent,DAC314,none,1,Field
third_up_percent,third_up_percent,DAC315,none,1,Field
insured_num,insured_num,DAC220,none,1,Field
new_num,new_num,DAC318,none,2,Field
continu_num,continu_num,DAC319,none,1,Field
index,index,DAC355,none,2,Field
breaks,breaks,DAC346,none,3,Field
num_i,num_i,DAC322,none,1,Field
num_k,num_k,DAC323,none,1,Field
num_l,num_l,DAC324,none,1,Field
num_j,num_j,DAC325,none,1,Field
rate,rate,DAC344,none,1,Field
injury_num,injury_num,DAC348,none,1,Field
scale,scale,DAB286,none,1,Field
AAE140,AAE140,AAE140,none,1,Field
isclose,isclose,DAC350,none,2,Field
span,span,DAC211,none,4,Field
aac066,aac066,AAC066,none,1,Field
money_mean,money_mean,DAC329,none,1,Field
month_num,month_num,DAC331,none,1,Field
aja005,aja005,AJA005,none,1,Field
aab024,aab024,AAB024,none,2,Field
enjoyed_num,enjoyed_num,DAC331,none,1,Field
approve_month,approve_month,DAC332,none,1,Field
blc040,blc040,BLC040,none,1,Field
male_money,male_money,DAC337,none,1,Field
procreatenum,procreatenum,DAC338,none,1,Field
total_num,total_num,DAC340,none,1,Field
mean_money,mean_money,DAC341,none,1,Field
years,years,DAC285,none,1,Field
aka078,aka078,AKA078,none,2,Field
aaz149,aaz149,AAZ149,none,4,Field
clic_type,clic_type,DKE205,none,1,Field
aac084,aac084,AAC084,none,1,Field
xcsp_risk_control_number,xcsp_risk_control_number,DAD001,none,1,Field
aae002,aae002,AAE002,none,2,Field
gen_time,gen_time,AAE036,none,1,Field
money,money,AAE019,none,1,Field
yik_risk_control_number,yik_risk_control_number,DAC379,none,1,Field
SDAY,SDAY,SDAY,none,10,Field
AKA078,AKA078,AKA078,none,1,Field
CKB105,CKB105,CKB105,none,1,Field
MEDNAME,MEDNAME,AKE002,none,1,Field
MEDNUM,MEDNUM,DKE228,none,1,Field
peonum,peonum,YFD001,none,6,Field
fundpay,fundpay,YFD002,none,3,Field
aaa103,aaa103,YFD004,none,2,Field
bae041,bae041,BAE041,none,4,Field
company_payment,company_payment,AAE020,none,1,Field
individual_payment,individual_payment,AAE022,none,1,Field
finance_payment,finance_payment,AAE024,none,1,Field
SHOUR,SHOUR,SHOUR,none,2,Field
SMINUTE,SMINUTE,SMINUTE,none,2,Field
event_num,event_num,FAE006,none,1,Field
total_pay,total_pay,FAE007,none,1,Field
total_fund_pay,total_fund_pay,FAE008,none,1,Field
total_peonum,total_peonum,FAE009,none,1,Field
cka009,cka009,CKA009,none,1,Field
fae011,fae011,FAE011,none,2,Field
stype,stype,FAE021,none,1,Field
idcolname,idcolname,FAE022,none,1,Field
event_id,event_id,FAE023,none,1,Field
object_type,object_type,FAE024,none,1,Field
object_id,object_id,FAE025,none,1,Field
object_num,object_num,FAE026,none,1,Field
object_name,object_name,FAE027,none,1,Field
stime,stime,FAE028,none,1,Field
fund,fund,FAE029,none,2,Field
aae180,aae180,AAE180,none,1,Field
istagged,istagged,FAE030,none,1,Field
aae003,aae003,AAE003,none,1,Field
event_label,event_label,FAE073,none,1,Field
fae020,fae020,FAE020,none,1,Field
s_qtail_90,s_qtail_90,S_QTAIL_90,none,2,Field
s_qtail_80,s_qtail_80,S_QTAIL_80,none,2,Field
s_qtail_70,s_qtail_70,S_QTAIL_70,none,2,Field
s_qtail_60,s_qtail_60,S_QTAIL_60,none,2,Field
s_qtail_50,s_qtail_50,S_QTAIL_50,none,2,Field
s_qtail_40,s_qtail_40,S_QTAIL_40,none,2,Field
s_qtail_30,s_qtail_30,S_QTAIL_30,none,2,Field
s_qtail_20,s_qtail_20,S_QTAIL_20,none,2,Field
cad034,cad034,CAD034,none,1,Field
cke363,cke363,CKE363,none,1,Field
DIE008,DIE008,DIE008,none,1,Field
DIE013,DIE013,DIE013,none,1,Field
DIE001,DIE001,DIE001,none,1,Field
DIE002,DIE002,DIE002,none,1,Field
DIE003,DIE003,DIE003,none,1,Field
DIE004,DIE004,DIE004,none,1,Field
groups,groups,DIE006,none,4,Field
num_income,num_income,DIE009,none,1,Field
income,income,DIE010,none,1,Field
num_outcome,num_outcome,DIE011,none,1,Field
real_pred_rate,real_pred_rate,DIE028,none,1,Field
ITEMID,ITEMID,ITEMID,none,2,Field
DEPARTMENT,DEPARTMENT,DEPARTMENT,none,2,Field
yearf_value,yearf_value,DKE221,none,1,Field
yearf_value_up,yearf_value_up,DKE222,none,1,Field
yearf_value_low,yearf_value_low,DKE223,none,1,Field
adj_yearf_value,adj_yearf_value,DKE224,none,1,Field
adj_yearf_value_up,adj_yearf_value_up,DKE225,none,1,Field
monf_value,monf_value,DKE221,none,1,Field
monf_value_up,monf_value_up,DKE222,none,1,Field
clinic_type,clinic_type,AKB022,none,1,Field
clinic_number,clinic_number,DKB001,none,3,Field
clinic_level,clinic_level,AKA101,none,1,Field
keep_number,keep_number,DKB002,none,1,Field
start_number,start_number,DKB003,none,1,Field
chain_drugstore_name,chain_drugstore_name,AKB021,none,3,Field
time_week,time_week,DKB007,none,3,Field
time_hour,time_hour,DKB008,none,3,Field
time_season,time_season,DKB009,none,1,Field
hos_id,hos_id,AAZ107,none,50,Field
hos_licensed_doctor,hos_licensed_doctor,CKB163,none,2,Field
hos_licensed_pharmacist,hos_licensed_pharmacist,CKB164,none,2,Field
hos_licensed_nurse,hos_licensed_nurse,CKB165,none,2,Field
hos_pharmacist,hos_pharmacist,CKB166,none,2,Field
personnel_structure_score,personnel_structure_score,DKB012,none,1,Field
fixed_point_score,fixed_point_score,DKB013,none,1,Field
business_hours_score,business_hours_score,DKB014,none,1,Field
customer_condition_score,customer_condition_score,DKB015,none,1,Field
drugs_condition_socre,drugs_condition_socre,DKB016,none,1,Field
chain_label,chain_label,DKB075,none,1,Field
patient_age,patient_age,DAC214,none,2,Field
retirement_station,retirement_station,AAC084,none,2,Field
household_registration,household_registration,AAC009,none,2,Field
hour,hour,DKB008,none,1,Field
weekend_passengers,weekend_passengers,DKB019,none,1,Field
special_disease_id,special_disease_id,AAZ149,none,2,Field
peo_time,peo_time,DKB006,none,9,Field
sum_cost,sum_cost,DKB021,none,1,Field
sum_time,sum_time,DKB006,none,1,Field
avg_cost,avg_cost,DKB078,none,3,Field
all_cost,all_cost,DKB021,none,7,Field
fund_cost,fund_cost,DKB028,none,3,Field
fund_ratio,fund_ratio,DKB030,none,3,Field
share_ratio,share_ratio,DKB092,none,1,Field
avg_drug_times,avg_drug_times,DKB079,none,2,Field
avg_drug_cost,avg_drug_cost,DKB080,none,1,Field
repeat_ratio,repeat_ratio,DKB093,none,1,Field
drug_type,drug_type,CKE103,none,2,Field
type_times,type_times,DKB006,none,1,Field
drug_name,drug_name,AKE002,none,3,Field
personnel_number,personnel_number,AAC999,none,2,Field
hos_level,hos_level,AKA101,none,2,Field
hos_number,hos_number,DKB001,none,3,Field
hos_name,hos_name,AKB021,none,2,Field
ranking_frequency,ranking_frequency,DKB022,none,1,Field
all_time_ghjs,all_time_ghjs,DKB023,none,1,Field
all_time_gh,all_time_gh,DKB024,none,1,Field
all_time_js,all_time_js,DKB025,none,1,Field
cash_cost,cash_cost,DKB029,none,1,Field
avg_cost_ghjs,avg_cost_ghjs,DKB031,none,1,Field
avg_cost_gh,avg_cost_gh,DKB032,none,1,Field
avg_cost_js,avg_cost_js,DKB033,none,1,Field
res_class,res_class,DKB035,none,3,Field
cost_medican,cost_medican,DKB036,none,2,Field
cost_material,cost_material,DKB037,none,2,Field
cost_operation,cost_operation,DKB038,none,2,Field
cost_inspection,cost_inspection,DKB039,none,2,Field
cost_treat,cost_treat,DKB040,none,2,Field
cost_bed,cost_bed,DKB041,none,2,Field
cost_other,cost_other,DKB042,none,1,Field
avg_cost_medican,avg_cost_medican,DKB043,none,1,Field
avg_cost_material,avg_cost_material,DKB044,none,1,Field
avg_cost_operation,avg_cost_operation,DKB045,none,1,Field
avg_cost_inspection,avg_cost_inspection,DKB046,none,1,Field
avg_cost_treat,avg_cost_treat,DKB047,none,1,Field
avg_cost_bed,avg_cost_bed,DKB048,none,1,Field
avg_cost_other,avg_cost_other,DKB049,none,1,Field
weekday,weekday,DKB007,none,1,Field
outpatient_time,outpatient_time,DKB050,none,1,Field
emergency_time,emergency_time,DKB051,none,1,Field
len_visit,len_visit,DKB052,none,1,Field
keshi_name,keshi_name,AAE386,none,2,Field
all_peotime,all_peotime,DKB006,none,1,Field
avg_hosday,avg_hosday,DKB054,none,1,Field
often_ratio,often_ratio,DKB056,none,1,Field
frequency_group,frequency_group,DKB058,none,1,Field
ratio_medican,ratio_medican,DKB043,none,1,Field
ratio_material,ratio_material,DKB044,none,1,Field
ratio_operation,ratio_operation,DKB045,none,1,Field
ratio_inspection,ratio_inspection,DKB046,none,1,Field
ratio_treat,ratio_treat,DKB047,none,1,Field
ratio_bed,ratio_bed,DKB048,none,1,Field
index_name,index_name,DKB066,none,1,Field
hosday,hosday,DKB068,none,1,Field
peo,peo,DKB018,none,2,Field
DKB116,DKB116,DKB116,none,2,Field
peotime,peotime,DKB006,none,1,Field
DKB119,DKB119,DKB119,none,1,Field
all_time,all_time,DKB006,none,2,Field
CKE103,CKE103,CKE103,none,1,Field
hos_other,hos_other,DKB010,none,1,Field
public_percentage,public_percentage,DKB069,none,1,Field
non_Profit_percentage,non_Profit_percentage,DKB070,none,1,Field
qualification_type,qualification_type,DKB071,none,3,Field
num_percentage,num_percentage,DKB073,none,1,Field
situational_time,situational_time,CKB107,none,1,Field
all_staff,all_staff,CKB167,none,1,Field
position,position,CKB327,none,4,Field
qualifying_points_num,qualifying_points_num,DKB077,none,1,Field
aaz231,aaz231,AAZ231,none,1,Field
major_drug_type,major_drug_type,CKE103,none,1,Field
special_disease_ratio,special_disease_ratio,DKB082,none,1,Field
special_amount_ratio,special_amount_ratio,DKB095,none,1,Field
group_census_register,group_census_register,DAB286,none,2,Field
combination,combination,DKB083,none,3,Field
antecedent,antecedent,DKB085,none,3,Field
confidence,confidence,DKB086,none,3,Field
hos_nature,hos_nature,CKB168,none,1,Field
business_nature,business_nature,CKB169,none,1,Field
qualification_label,qualification_label,DKB081,none,1,Field
aaz107,aaz107,AAZ107,none,1,Field
west_type,west_type,DKB098,none,1,Field
west_cost,west_cost,DKB099,none,1,Field
west_avg,west_avg,DKB100,none,1,Field
patent_type,patent_type,DKB101,none,1,Field
patent_cost,patent_cost,DKB102,none,1,Field
patent_avg,patent_avg,DKB103,none,1,Field
herbal_type,herbal_type,DKB104,none,1,Field
fee_group,fee_group,DKB108,none,1,Field
FREQ,FREQ,DKB006,none,1,Field
DKB021,DKB021,DKB021,none,1,Field
AKB022,AKB022,AKB022,none,2,Field
DKB117,DKB117,DKB117,none,1,Field
DKB118,DKB118,DBK118,none,1,Field
AAA103,AAA103,MAE001,none,1,Field
num_worker,num_worker,DAC239,none,1,Field
num_flexible_employment,num_flexible_employment,DAC240,none,1,Field
num_regular,num_regular,DAC241,none,1,Field
num_retire_man,num_retire_man,DAC242,none,1,Field
num_lose_land,num_lose_land,DAC243,none,1,Field
num_resident_pension,num_resident_pension,DAC244,none,1,Field
num_worker_add,num_worker_add,DAC246,none,1,Field
num_worker_reduce,num_worker_reduce,DAC247,none,1,Field
num_worker_abs,num_worker_abs,DAC248,none,1,Field
aab019,aab019,AAB019,none,1,Field
num_comps,num_comps,DAB258,none,1,Field
num_comp_normal,num_comp_normal,DAB259,none,1,Field
num_ord_comp_normal,num_ord_comp_normal,DAB260,none,1,Field
num_ind_comp_normal,num_ind_comp_normal,DAB261,none,1,Field
num_comp_stop,num_comp_stop,DAB262,none,1,Field
num_ord_comp_stop,num_ord_comp_stop,DAB263,none,1,Field
aab051,aab051,AAB051,none,1,Field
num_insured_comp,num_insured_comp,DAB266,none,2,Field
num_insured_worker,num_insured_worker,DAC251,none,1,Field
num_ind_comp,num_ind_comp,DAB268,none,1,Field
num_insured_peo,num_insured_peo,DAC254,none,1,Field
street_indus_num,street_indus_num,DAB271,none,1,Field
num_arrears_comp,num_arrears_comp,DAB272,none,1,Field
age_cate,age_cate,DAB237,none,3,Field
mean,mean,DAC281,none,2,Field
receive,receive,DAC289,none,1,Field
RAA001,RAA001,RAA001,none,2,Field
RAA002,RAA002,RAA002,none,1,Field
RAA003,RAA003,RAA003,none,1,Field
RAA004,RAA004,RAA004,none,1,Field
RAA005,RAA005,RAA005,none,1,Field
RAA006,RAA006,RAA006,none,1,Field
RAA007,RAA007,RAA007,none,1,Field
RAA008,RAA008,RAA008,none,1,Field
RAA009,RAA009,RAA009,none,1,Field
RAA010,RAA010,RAA010,none,1,Field
RAA011,RAA011,RAA011,none,1,Field
RAA012,RAA012,RAA012,none,1,Field
RAA014,RAA014,RAA014,none,1,Field
RAA015,RAA015,RAA015,none,1,Field
RAA016,RAA016,RAA016,none,1,Field
RAA026,RAA026,RAA026,none,1,Field
RAA017,RAA017,RAA017,none,1,Field
RAA018,RAA018,RAA018,none,1,Field
