table_id:ID(Table),name,file,field_count:int,:LABEL
yb43,yb43,table_company_portrait.py,5,Table
yb44,yb44,table_company_portrait.py,7,Table
yb45,yb45,table_company_portrait.py,5,Table
yb46,yb46,table_company_portrait.py,8,Table
yb47,yb47,table_company_portrait.py,9,Table
yb48,yb48,table_company_portrait.py,10,Table
yb49,yb49,table_company_portrait.py,6,Table
yb50,yb50,table_company_portrait.py,5,Table
yb51,yb51,table_company_portrait.py,5,Table
yb52,yb52,table_company_portrait.py,6,Table
yb53,yb53,table_company_portrait.py,6,Table
yb54,yb54,table_company_portrait.py,5,Table
yb55,yb55,table_company_portrait.py,9,Table
yb56,yb56,table_company_portrait.py,5,Table
yb57,yb57,table_company_portrait.py,5,Table
yb58,yb58,table_company_portrait.py,5,Table
yb59,yb59,table_region_overview.py,5,Table
yb60,yb60,table_region_overview.py,5,Table
yb61,yb61,table_company_portrait.py,6,Table
yb64,yb64,table_company_portrait.py,8,Table
yb65,yb65,table_company_portrait.py,6,Table
yb66,yb66,table_company_portrait.py,5,Table
yb67,yb67,table_company_portrait.py,5,Table
yb68,yb68,table_company_portrait.py,4,Table
yb69,yb69,table_company_portrait.py,5,Table
yb70,yb70,table_company_portrait.py,6,Table
yb71,yb71,table_risk_detection.py,7,Table
yb80,yb80,table_region_overview.py,7,Table
yc05,yc05,table_people_overview.py,4,Table
yc06,yc06,table_people_overview.py,4,Table
yc07,yc07,table_people_overview.py,6,Table
yc08,yc08,table_people_overview.py,4,Table
yc09,yc09,table_people_overview.py,12,Table
yc10,yc10,table_people_overview.py,8,Table
yc11,yc11,table_people_overview.py,5,Table
yc12,yc12,table_people_overview.py,5,Table
yc13,yc13,table_people_overview.py,8,Table
yc14,yc14,table_people_overview.py,8,Table
yc15,yc15,table_people_overview.py,7,Table
yc16,yc16,table_people_overview.py,7,Table
yc17,yc17,table_people_overview.py,10,Table
yc18,yc18,table_people_overview.py,7,Table
yc19,yc19,table_people_overview.py,5,Table
yc21,yc21,table_people_overview.py,5,Table
yc22,yc22,table_people_overview.py,5,Table
yc23,yc23,table_people_overview.py,5,Table
yc24,yc24,table_people_overview.py,6,Table
yc25,yc25,table_people_overview.py,5,Table
yc26,yc26,table_people_overview.py,5,Table
yc27,yc27,table_people_overview.py,5,Table
yc28,yc28,table_people_overview.py,7,Table
yc29,yc29,table_people_overview.py,5,Table
yc30,yc30,table_people_overview.py,5,Table
yc31,yc31,table_people_overview.py,5,Table
yc32,yc32,table_people_overview.py,12,Table
yc33,yc33,table_people_overview.py,5,Table
yc34,yc34,table_people_overview.py,5,Table
yc35,yc35,table_people_overview.py,5,Table
yc36,yc36,table_people_overview.py,14,Table
yc37,yc37,table_people_overview.py,7,Table
yc38,yc38,table_people_overview.py,6,Table
yc39,yc39,table_people_overview.py,7,Table
yc40,yc40,table_people_overview.py,6,Table
yc41,yc41,table_people_overview.py,6,Table
yc42,yc42,table_people_overview.py,5,Table
yc43,yc43,table_people_overview.py,7,Table
yc44,yc44,table_people_overview.py,6,Table
yc45,yc45,table_people_overview.py,6,Table
yc46,yc46,table_people_overview.py,6,Table
yc76,yc76,table_risk_detection.py,12,Table
yd001,yd001,table_dashboard.py,6,Table
yd002,yd002,table_dashboard.py,6,Table
yf01,yf01,table_fundctrl.py,5,Table
yf02,yf02,table_fundctrl.py,6,Table
yf03,yf03,table_fundctrl.py,7,Table
yfd01,yfd01,table_fundctrl.py,8,Table
yfd02,yfd02,table_fundctrl.py,5,Table
yfd03,yfd03,table_fundctrl.py,5,Table
yfd04,yfd04,table_fundctrl.py,6,Table
yfd05,yfd05,table_fundctrl.py,10,Table
yfd06,yfd06,table_fundctrl.py,6,Table
yfd06_attr_01,yfd06_attr_01,table_fundctrl.py,2,Table
yfd07,yfd07,table_fundctrl.py,19,Table
yfd07_attr_01,yfd07_attr_01,table_fundctrl.py,2,Table
yfd10,yfd10,table_fundctrl.py,13,Table
yfd11,yfd11,table_fundctrl.py,15,Table
yi01,yi01,table_fundctrl.py,9,Table
yi02,yi02,table_fundctrl.py,4,Table
yi03,yi03,table_fundctrl.py,4,Table
yi04,yi04,table_fundctrl.py,4,Table
yi05,yi05,table_fundctrl.py,4,Table
yi06,yi06,table_fundctrl.py,6,Table
yi07,yi07,table_fundctrl.py,4,Table
ym01,ym01,table_fundctrl.py,11,Table
ym02,ym02,table_fundctrl.py,8,Table
ym04,ym04,table_drugstore_pandect.py,5,Table
ym05,ym05,table_drugstore_pandect.py,5,Table
ym06,ym06,table_drugstore_pandect.py,5,Table
ym07,ym07,table_drugstore_pandect.py,4,Table
ym08,ym08,table_drugstore_pandect.py,4,Table
ym09,ym09,table_risk_detection.py,5,Table
ym10,ym10,table_drugstore_pandect.py,5,Table
ym11,ym11,table_drugstore_pandect.py,5,Table
ym12,ym12,table_drugstore_unit.py,8,Table
ym13,ym13,table_drugstore_pandect.py,12,Table
ym14,ym14,table_drugstore_unit.py,5,Table
ym15,ym15,table_drugstore_unit.py,5,Table
ym16,ym16,table_drugstore_unit.py,5,Table
ym17,ym17,table_drugstore_unit.py,5,Table
ym18,ym18,table_drugstore_unit.py,6,Table
ym19,ym19,table_drugstore_unit.py,7,Table
ym20,ym20,table_drugstore_unit.py,14,Table
ym21,ym21,table_drugstore_unit.py,6,Table
ym22,ym22,table_drugstore_unit.py,6,Table
ym23,ym23,table_drugstore_unit.py,5,Table
ym24,ym24,table_hospital_pandect.py,5,Table
ym25,ym25,table_hospital_pandect.py,6,Table
ym26,ym26,table_hospital_unit.py,14,Table
ym27,ym27,table_hospital_pandect.py,19,Table
ym28,ym28,table_hospital_pandect.py,7,Table
ym29,ym29,table_hospital_pandect.py,5,Table
ym30,ym30,table_hospital_unit.py,5,Table
ym31,ym31,table_hospital_unit.py,5,Table
ym32,ym32,table_hospital_unit.py,9,Table
ym33,ym33,table_hospital_unit.py,5,Table
ym34,ym34,table_hospital_unit.py,11,Table
ym35,ym35,table_hospital_pandect.py,7,Table
ym36,ym36,table_hospital_pandect.py,6,Table
ym37,ym37,table_risk_detection.py,10,Table
ym38,ym38,table_drugstore_unit.py,6,Table
ym39,ym39,table_drugstore_unit.py,5,Table
ym40,ym40,table_hospital_unit.py,5,Table
ym41,ym41,table_risk_detection.py,5,Table
ym42,ym42,table_hospital_unit.py,9,Table
ym43,ym43,table_hospital_unit.py,5,Table
ym44,ym44,table_hospital_unit.py,5,Table
ym45,ym45,table_hospital_unit.py,5,Table
ym46,ym46,table_hospital_unit.py,5,Table
ym47,ym47,table_drugstore_pandect.py,4,Table
ym48,ym48,table_drugstore_pandect.py,4,Table
ym49,ym49,table_drugstore_pandect.py,5,Table
ym50,ym50,table_drugstore_pandect.py,4,Table
ym51,ym51,table_drugstore_pandect.py,4,Table
ym52,ym52,table_drugstore_pandect.py,6,Table
ym53,ym53,table_drugstore_pandect.py,4,Table
ym54,ym54,table_drugstore_pandect.py,9,Table
ym55,ym55,table_drugstore_pandect.py,5,Table
ym56,ym56,table_drugstore_pandect.py,4,Table
ym57,ym57,table_drugstore_pandect.py,4,Table
ym58,ym58,table_drugstore_pandect.py,5,Table
ym59,ym59,table_drugstore_pandect.py,9,Table
ym60,ym60,table_drugstore_pandect.py,7,Table
ym61,ym61,table_drugstore_pandect.py,6,Table
ym62,ym62,table_drugstore_pandect.py,5,Table
ym63,ym63,table_drugstore_pandect.py,5,Table
ym64,ym64,table_drugstore_unit.py,6,Table
ym65,ym65,table_drugstore_unit.py,5,Table
ym66,ym66,table_drugstore_unit.py,5,Table
ym67,ym67,table_drugstore_pandect.py,5,Table
ym68,ym68,table_drugstore_pandect.py,5,Table
ym69,ym69,table_hospital_pandect.py,5,Table
ym70,ym70,table_hospital_pandect.py,5,Table
ym71,ym71,table_hospital_pandect.py,6,Table
ym73,ym73,table_hospital_pandect.py,10,Table
ym75,ym75,table_hospital_unit.py,7,Table
ym76,ym76,table_hospital_unit.py,5,Table
ym77,ym77,table_hospital_unit.py,5,Table
ym78,ym78,table_hospital_unit.py,4,Table
ym79,ym79,table_drugstore_pandect.py,5,Table
ym80,ym80,table_drugstore_pandect.py,5,Table
ym81,ym81,table_drugstore_unit.py,6,Table
ym82,ym82,table_drugstore_unit.py,6,Table
ym83,ym83,table_drugstore_unit.py,12,Table
ym84,ym84,table_drugstore_pandect.py,4,Table
ym85,ym85,table_drugstore_pandect.py,4,Table
ym86,ym86,table_hospital_pandect.py,4,Table
ym87,ym87,table_hospital_unit.py,6,Table
ym88,ym88,table_risk_detection.py,11,Table
ymd01,ymd01,table_dashboard.py,6,Table
yr01,yr01,table_report_worker_insure.py,11,Table
yr02,yr02,table_report_worker_insure.py,7,Table
yr03,yr03,table_report_worker_insure.py,5,Table
yr04,yr04,table_report_worker_insure.py,5,Table
yr05,yr05,table_report_worker_insure.py,10,Table
yr06,yr06,table_report_worker_insure.py,5,Table
yr07,yr07,table_report_worker_insure.py,5,Table
yr08,yr08,table_report_worker_insure.py,5,Table
yr09,yr09,table_report_worker_insure.py,5,Table
yr10,yr10,table_report_worker_insure.py,5,Table
yr11,yr11,table_report_worker_insure.py,5,Table
yr12,yr12,table_report_worker_insure.py,5,Table
yr13,yr13,table_report_worker_insure.py,5,Table
yr14,yr14,table_report_worker_insure.py,4,Table
yr15,yr15,table_report_worker_insure.py,6,Table
yr16,yr16,table_report_worker_insure.py,6,Table
yr17,yr17,table_report_worker_insure.py,6,Table
yr18,yr18,table_report_worker_insure.py,6,Table
yr19,yr19,table_report_worker_insure.py,5,Table
yr20,yr20,table_report_worker_insure.py,5,Table
yr21,yr21,table_report_worker_insure.py,4,Table
yr22,yr22,table_report_worker_insure.py,5,Table
yr23,yr23,table_report_worker_insure.py,5,Table
yr24,yr24,table_report_worker_insure.py,5,Table
yr25,yr25,table_report_worker_insure.py,5,Table
yr26,yr26,table_report_worker_insure.py,5,Table
yr27,yr27,table_report_worker_insure.py,5,Table
yr28,yr28,table_report_worker_insure.py,5,Table
yr29,yr29,table_report_worker_insure.py,5,Table
yr30,yr30,table_report_worker_insure.py,5,Table
yr31,yr31,table_report_worker_insure.py,5,Table
yr32,yr32,table_report_worker_insure.py,5,Table
yr33,yr33,table_report_worker_insure.py,5,Table
yr34,yr34,table_report_worker_insure.py,5,Table
yr35,yr35,table_report_worker_insure.py,4,Table
yr36,yr36,table_report_worker_insure.py,5,Table
yr37,yr37,table_report_worker_insure.py,5,Table
yr38,yr38,table_report_worker_insure.py,4,Table
yr39,yr39,table_report_worker_insure.py,4,Table
yra01,yra01,table_risk_detection.py,12,Table
yra02,yra02,table_risk_detection.py,6,Table
yra02_attr_01,yra02_attr_01,table_risk_detection.py,3,Table
